校系名稱,甄試日期,招生名額,預選人數,可選填校系數
102001國立雲林科技大學機械工程系,115年6月18日 (四),76,,2
102050國立雲林科技大學智慧機器人學士學位學程,115年6月18日 (四),2,,2
104001國立臺北科技大學機械工程系,115年6月18日 (四),47,,2
104022國立臺北科技大學工業工程與管理系,115年6月15日 (一),10,,2
114013國立臺北商業大學創意科技與產品設計系（桃園校區）,115年6月17日 (三),5,,3
704001國立臺灣師範大學機電工程學系,115年6月17日 (三),14,,6
101001國立臺灣科技大學機械工程系,,40,,6
101003國立臺灣科技大學材料科學與工程系,,8,,6
101008國立臺灣科技大學化學工程系,,1,,6
102010國立雲林科技大學環境與安全衛生工程系,,9,,2
102018國立雲林科技大學工業工程與管理系,,21,,2
102031國立雲林科技大學工業設計系,,4,,2
103020國立屏東科技大學機械工程系,,66,無人選,3
103027國立屏東科技大學生物機電工程系,,10,無人選,3
103030國立屏東科技大學材料工程系,,4,無人選,3
103061國立屏東科技大學智慧機電學士學位學程,,7,無人選,3
104002國立臺北科技大學車輛工程系,,2,,2
104015國立臺北科技大學材料及資源工程系材料組,,5,,2
104018國立臺北科技大學材料及資源工程系資源組,,4,,2
105003國立高雄科技大學工業工程與管理系,,8,,3
105011國立高雄科技大學機械工程系,,27,,3
105012國立高雄科技大學機械工程系智能系統與控制組,,26,,3
105013國立高雄科技大學機械工程系微奈米技術組,,26,,3
105014國立高雄科技大學模具工程系,,23,,3
105016國立高雄科技大學模具工程系光電模具組,,23,無人選,3
105018國立高雄科技大學模具工程系精微模具組,,22,,3
105020國立高雄科技大學機電工程系精密機械組,,28,,3
105022國立高雄科技大學機電工程系智慧自動化組,,3,,3
105025國立高雄科技大學能源與冷凍空調工程系,,2,無人選,3
105027國立高雄科技大學車輛工程系,,2,,3
105096國立高雄科技大學工業設計系,,5,,3
105098國立高雄科技大學跨域互動設計學士學位學程,,5,,3
105115國立高雄科技大學造船及海洋工程系,,51,,3
105117國立高雄科技大學航運技術系,,10,,3
105120國立高雄科技大學輪機工程系,,15,,3
105126國立高雄科技大學高瞻科技不分系學士學位學程,,6,,3
107001國立虎尾科技大學機械與電腦輔助工程系,,65,,2
107003國立虎尾科技大學材料科學與工程系,,36,,2
107006國立虎尾科技大學機械設計工程系,,68,,2
107007國立虎尾科技大學動力機械工程系,,17,,2
107010國立虎尾科技大學自動化工程系,,30,,2
107013國立虎尾科技大學飛機工程系機械組,,40,,2
107014國立虎尾科技大學飛機工程系機械組（1）,,5,,2
107029國立虎尾科技大學工業管理系,,19,,2
110001國立勤益科技大學機械工程系,,91,,1
110016國立勤益科技大學冷凍空調與能源系能源應用組,,5,無人選,1
110018國立勤益科技大學冷凍空調與能源系環境控制組,,5,無人選,1
110020國立勤益科技大學工業工程與管理系,,40,,1
110041國立勤益科技大學智慧自動化工程系,,13,,1
110044國立勤益科技大學人工智慧應用工程系,,5,無人選,1
503404國立臺東專科學校動力機械科產業機械組,,13,無人選,6
503407國立臺東專科學校動力機械科車輛組,,5,無人選,6
702001國立清華大學動力機械工程學系,,1,,3
707005國立陽明交通大學機械工程學系,,1,,3
709001國立中山大學機械與機電工程學系,,1,,1
710009國立臺灣海洋大學機械與機電工程學系,,2,,3
713001國立彰化師範大學電機與機械科技學系,,21,,3
724001國立聯合大學機械工程學系,,22,,3
724002國立聯合大學環境與安全衛生工程學系,,1,,3
