校系代碼,序號,准考證號,國文,英文,數學,專一,專二,總分
104022,1,52010082,11,14,13,12,13,63
104022,2,52010126,12,13,14,12,12,63
104022,3,52010042,10,13,12,13,15,63
104022,4,52010078,13,14,13,11,11,62
104022,5,52010170,13,14,12,10,13,62
104022,6,52010354,10,14,13,11,13,61
104022,7,52010210,11,14,10,12,13,60
104022,8,52010321,10,13,12,11,14,60
104022,9,52010150,11,9,12,13,15,60
104022,10,52010046,12,11,11,12,14,60
104022,11,52010242,12,11,14,11,12,60
104022,12,52010034,10,13,10,13,14,60
104022,13,52010453,11,15,11,10,12,59
104022,14,52010375,11,11,13,10,14,59
104022,15,52010258,10,15,10,11,13,59
104022,16,52010399,10,12,10,12,13,57
104022,17,52010456,13,14,8,8,14,57
104022,18,52010438,11,12,10,11,12,56
104022,19,52010118,9,7,15,12,13,56
104022,20,52010094,10,8,11,13,14,56
104022,21,52010058,13,10,13,10,9,55
104022,22,52010444,13,15,11,6,10,55
